"Rank","Title","Description","Runtime","Genre","Rating","Metascore","Votes","Director","Main_Actor"
31,"Apresentando os Ricardos","Follows Lucy and Desi as they face a crisis that could end their careers and another that could end their marriage.",131,"Biography",6.6,60,28826,"Aaron Sorkin","Nicole Kidman"
32,"O Esquadrão Suicida","Supervillains Harley Quinn, Bloodsport, Peacemaker and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.",132,"Action",7.2,72,303479,"James Gunn","Margot Robbie"
33,"Anônimo","A docile family man slowly reveals his true character after his house gets burgled by two petty thieves, which, coincidentally, leads him into a bloody war with a Russian crime boss.",92,"Action",7.4,64,204250,"Ilya Naishuller","Bob Odenkirk"
34,"Os Olhos de Tammy Faye","An intimate look at the extraordinary rise, fall and redemption of televangelist Tammy Faye Bakker.",126,"Biography",6.7,55,13119,"Michael Showalter","Jessica Chastain"
35,"Free Guy: Assumindo o Controle","A bank teller discovers that he's actually an NPC inside a brutal, open world video game.",115,"Action",7.2,62,281775,"Shawn Levy","Ryan Reynolds"
36,"Noite Passada em Soho","An aspiring fashion designer is mysteriously able to enter the 1960s where she encounters a dazzling wannabe singer. But the glamour is not all it appears to be and the dreams of the past start to crack and splinter into something darker.",116,"Drama",7.1,65,87108,"Edgar Wright","Thomasin McKenzie"
37,"Resident Evil: Bem-vindo a Raccoon City","Set in 1998, this origin story explores the secrets of the mysterious Spencer Mansion and the ill-fated Raccoon City.",107,"Action",5.2,44,36103,"Johannes Roberts","Kaya Scodelario"
38,"Últimos Sobreviventes","A father and son, who have been living off grid for 20 years, encounter an outsider who threatens to destroy the utopia they've built.",98,"Sci-Fi",4.6,NA,861,"Drew Mylrea","Drew Van Acker"
39,"Shang-Chi e a Lenda dos Dez Anéis","Shang-Chi, the master of weaponry-based Kung Fu, is forced to confront his past after being drawn into the Ten Rings organization.",132,"Action",7.5,71,322807,"Destin Daniel Cretton","Simu Liu"
40,"Mães Paralelas","The story of two mothers who give birth the same day.",123,"Drama",7.1,88,10224,"Pedro Almodóvar","Penélope Cruz"
41,"Pleasure","Bella Cherry arrives in Los Angeles with dreams of becoming an adult film star, but she soon learns that fame won't come easy as she harnesses her ambition and cunning to rise to the top of this mesmerizing and singular world.",109,"Drama",6.3,74,5893,"Ninja Thyberg","Sofia Kappel"
42,"Cyrano","Too self-conscious to woo Roxanne himself, wordsmith Cyrano de Bergerac helps young Christian nab her heart through love letters.",124,"Drama",5.9,69,1860,"Joe Wright","Peter Dinklage"
